date,open,high,low,close,volume
2024-01-02,492.44,492.95,475.95,481.68,41125422
2024-01-03,474.85,481.841,473.2,475.69,32089619
2024-01-04,477.67,485,475.08,479.98,30653490
2024-01-05,484.62,495.47,483.0601,490.97,41503930
2024-01-08,495.12,522.75,494.79,522.53,64250992
2024-01-09,524.01,543.25,516.9,531.4,77310008
2024-01-10,536.16,546,534.89,543.5,53379578
2024-01-11,549.99,553.46,535.6,548.22,59675879
2024-01-12,546.2,549.7,543.3008,547.1,35299359
2024-01-16,550.18,568.3499,549,563.82,44957969
2024-01-17,563.47,564.7068,547.4,560.53,47439441
2024-01-18,572.6,576,561.07,571.07,49165039
2024-01-19,579.89,595,572.25,594.91,54350152
2024-01-22,600.49,603.31,590.7,596.54,45295461
2024-01-23,595.7,599.1,585.85,598.73,29465449
2024-01-24,603.04,628.49,599.38,613.62,56027078
2024-01-25,623.5,627.19,608.5,616.17,48277680
2024-01-26,609.6,617.83,605.73,610.31,39030859
2024-01-29,612.32,624.89,609.07,624.65,34873301
2024-01-30,629,634.93,622.6,627.74,41073527
2024-01-31,614.4,622.6902,607,615.27,45379488
2024-02-01,621,631.91,616.5,630.27,36914578
2024-02-02,639.74,666,636.9,661.6,47657770
2024-02-05,682.25,694.97,672.05,693.32,68007797
2024-02-06,696.3,697.5399,663,682.23,68311133
2024-02-07,683.19,702.2,676,700.99,49557461
2024-02-08,700.74,707.94,694.55,696.41,41442207
2024-02-09,705.33,721.85,702.12,721.33,43663688
2024-02-12,726,746.11,712.5,722.48,61371020
2024-02-13,704,734.5,696.2,721.28,60258020
2024-02-14,732.02,742.36,719.38,739,50491738
2024-02-15,738.69,739.75,724,726.58,42012180
2024-02-16,741,744.02,725.01,726.13,49532660
2024-02-20,719.47,719.56,677.34,694.52,70483312
2024-02-21,680.06,688.88,662.48,674.72,69029805
2024-02-22,750.25,785.75,742.2,785.38,86509969
2024-02-23,807.9,823.94,775.7,788.17,82938844
2024-02-26,797,806.4599,785.05,790.92,50397273
2024-02-27,793.81,794.8,771.62,787.01,39170520
2024-02-28,776.2,789.33,771.25,776.63,39311039
2024-02-29,790.94,799.9,783.5,791.12,50728898
2024-03-01,800,823,794.3503,822.79,47913510
